"","Phylum.Proteobacteria.0001","Ralstonia.0001","Streptococcus.0001","Fusobacterium.0001","Prevotella.0001","Ralstonia.0002","Streptococcus.0002","Streptococcus.0003","Prevotella.0002","Veillonella.0001","Alloprevotella.0001","Veillonella.0002","Prevotella.0003","Parvimonas.0001","Propionibacterium.0001","Propionibacterium.0002","Haemophilus.0001","Order.Gp2.0001","Delftia.0001","Prevotella.0005","Peptostreptococcus.0001","Stenotrophomonas.0001","Gemella.0001","Streptococcus.0004","Order.Gp2.0002","Fusobacterium.0003","Kingdom.Bacteria.0001","Oribacterium.0001","Pseudomonas.0002","Staphylococcus.0001","Actinomyces.0001","Campylobacter.0001","Megasphaera.0001","Pelomonas.0001","Burkholderia.0001","Actinomyces.0003","Fusobacterium.0002","Prevotella.0004","Veillonella.0003","Alloprevotella.0003","Granulicatella.0001","Corynebacterium.0001","Escherichia/Shigella.0001","Ralstonia.0003"
"MIC_025_HMP",77,5,4,3,0,7,0,0,0,0,0,0,2,1,4,0,0,1,2,0,0,1,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0
"MIC_027_HMP",621,57,44,13,2,50,5,4,0,6,0,0,5,0,12,20,1,7,39,0,0,8,6,2,4,4,0,0,3,6,0,2,0,9,10,0,2,1,7,3,0,4,0,1
"MIC_028_HMP",1243,41,21,13,2,45,6,2,0,2,4,0,4,1,212,204,2,88,53,0,0,8,4,4,23,1,0,0,31,10,0,4,0,1,1,0,5,1,2,1,2,3,6,1
"MIC_029_HMP",1189,247,259,36,2,47,3,99,0,10,1,0,9,1,34,45,138,20,2,0,0,1,46,31,0,1,0,0,5,26,0,4,0,11,4,0,17,16,15,2,73,3,5,3
"MIC_032_HMP",989,0,1,1,1,0,0,0,0,0,0,0,1,0,55,73,0,0,60,0,0,30,0,0,0,0,0,0,11,0,0,1,0,0,0,0,0,0,0,0,0,1,27,0
"MIC_036_HMP",343,507,57,45,1,16,13,9,0,17,1,0,2,19,3,2,5,4,37,0,0,14,22,0,5,7,0,0,7,10,0,1,0,15,1,0,7,0,2,0,6,0,0,1
"MIC_037_HMP",27,151,41,18,17,10,14,2,0,4,8,0,4,1,0,1,1,1,0,0,0,1,2,4,1,0,0,0,0,1,0,0,0,0,1,0,0,3,1,5,2,0,0,1
"MIC_039_HMP",1837,20,1414,381,278,16,260,384,0,158,689,0,52,147,2,4,35,0,2,0,0,0,97,19,7,33,0,0,2,8,0,18,0,0,3,0,122,78,128,55,71,4,0,1
"MIC_040_HMP",3290,29,784,2219,2,23,52,223,0,152,73,0,160,295,2,2,142,3,1,0,0,1,191,24,6,34,0,0,1,0,0,3,0,1,11,0,694,398,116,8,20,6,1,0
"MIC_043_HMP",1540,130,746,309,0,108,0,262,0,0,2,0,1,0,10,16,1,148,11,0,0,40,0,19,0,0,0,0,8,0,0,0,0,0,37,0,131,0,0,0,26,37,4,1
"MIC_044_HMP",760,1,0,0,0,2,0,0,0,0,0,0,1,0,19,44,0,1,63,0,0,31,0,0,0,1,0,0,2,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"MIC_045_HMP",2928,0,1129,1,0,1,0,115,0,2,1,0,1,0,39,69,1,0,0,0,0,187,0,66,0,0,0,0,28,0,0,0,0,1,0,0,1,2,0,0,0,0,3,0
"MIC_049_HMP",407,11,126,251,70,9,23,36,0,53,45,0,29,43,0,1,12,0,7,0,0,1,19,11,2,7,0,0,0,0,0,14,0,0,4,0,35,3,19,17,4,1,0,0
"MIC_058_HMP",501,103,141,106,1,51,12,15,0,23,56,0,25,0,0,0,6,6,13,0,0,3,12,7,13,45,0,0,3,0,0,12,0,0,5,0,14,0,4,8,11,0,0,0
"MIC_063_HMP",112,850,1,5,0,72,0,0,0,0,0,0,0,0,6,3,0,0,19,0,0,1,0,0,4,0,0,0,6,0,0,0,0,4,1,0,2,0,0,0,0,0,0,4
"MIC_066_HMP",1034,6943,210,107,12,448,7,29,0,7,2,0,22,16,26,20,0,10,9,0,0,1,9,8,23,1,0,0,26,4,0,2,0,48,17,0,21,5,0,1,2,0,1,5
"MIC_067_HMP",28,789,23,0,0,55,8,1,0,0,1,0,0,1,27,60,0,2,2,0,0,0,0,24,2,0,0,0,2,0,0,0,0,2,8,0,0,1,0,0,4,0,0,2
